0: 53,61,158,156,286
1: 201,223,33,292,139
2: 6,189,256,160
3: 113,215,131
4: 287,22,76,216,18,112,154
6: 2,189,228,280,135
52: 89,290,293,183
285: 235,182,95,53,179
9: 198,300,94,28,248
11: 222,281,126
12: 104,44,186,174,102
251: 156,296,63,61
51: 255,114,81,87,252
15: 101,193,180
296: 170,63,61,97,251
20: 283,249,189,171,261
18: 76,233,231,4,154
44: 104,12,219,221,102,275
21: 38,234,127,132
22: 287,4,112,177
23: 161,271,103,164,294
301: 166,137,31
61: 158,97,296,262,156,251,0
26: 268,178
28: 248,9
29: 196,116,244,119,199
30: 203,236,181,250
31: 301,259,137,167
89: 290,52,183,162
33: 1,139,183
34: 239,58,300,94,253,232
35: 86,41,237,88,150
234: 275,221,132,21,38
37: 196,119
38: 21,234,265
39: 241,105,226,186,109,174
40: 277,262,98,243,247
41: 86,35,79,190,202,237,238
274: 163,211,267,190,79
43: 214,130
45: 144,82,258,208
46: 118,111,192,200,122
86: 41,35,127,238,150,266
48: 107,282,78,149,125,163
49: 93,272,124,155,84
140: 242,263,244,124,240
53: 0,158,257,286,285,182
143: 193,297,72,243,277
273: 166,96,270,57,137
56: 207,145,264
57: 175,270,166,273
58: 34,239,232,85,284,117,123
59: 292,139,302,200,230
60: 100,171,279,64,218,205
62: 224,241,121
63: 187,296,251
64: 129,199,136,100,60,218
65: 195,135,129,119,228
66: 176,241,105
67: 208,117,217,214,130,191
68: 260,287,154,288
69: 126,134,225,169,252
70: 225,246,108,128
71: 197,113,210
72: 193,143,115,243
107: 48,282,236,148,226,78,109
74: 212,263
75: 177,130,191
76: 216,18,123,204,231,4
137: 259,168,301,273,31
78: 120,149,159,203,236,48,107
79: 41,274,190,237
125: 204,253,149,48,163,211
81: 134,229,114,269,51,252
82: 245,258,45
83: 235,259,167
84: 218,205,242,124,49,93
85: 208,151,258,239,58,117
87: 169,252,278,51
88: 288,233,237,35,150
90: 256,160,157
91: 185,246,93,106,206
92: 110,184
93: 49,272,84,205,185,91
94: 9,300,248,151,34,239
95: 235,168,285,96,179
96: 270,179,168,95,273
97: 61,297,296,170,277,262
98: 188,243,40,161,271,247
144: 45,208,214
100: 60,171,129,64,189,228
101: 187,15,180,170
102: 221,202,174,291,12,44,190
103: 164,23,289,175
104: 12,44,224,186,254
105: 241,39,66,176,173,226
106: 229,206,279,205,146,91
108: 178,227,185,246,70,128
109: 174,291,226,39,107,282,267
110: 92,213,141,268
111: 192,223,292,46,200
112: 191,217,216,4,22,177
113: 3,71,197
114: 269,249,207,145,81,255,51
115: 188,243,220,72
116: 194,29,196
117: 284,217,58,208,67,85
118: 46,298,272,185,227
119: 129,199,37,29,196,65
120: 78,149,159
121: 209,62,224
122: 200,213,46,298,165
123: 76,216,58,204,232,284
124: 155,240,140,242,84,49
126: 69,222,169,11
127: 238,132,86,21,299
128: 281,178,108,70
129: 119,199,64,65,228,100
130: 43,214,67,191,75
131: 219,254,209,215,3
132: 127,238,221,202,234,21
190: 291,274,267,102,202,41,79
134: 81,229,206,225,252,69
135: 65,280,6
136: 242,244,199,64,218
138: 192,212,276,155,240
139: 183,302,1,33,59,292
141: 230,184,162,110
142: 231,237,211
145: 56,207,114,255
146: 283,249,279,229,106,269
243: 188,115,98,72,143,277,40
148: 250,226,236,107
149: 78,120,159,48,253,125
150: 86,35,88,266
151: 245,258,248,94,239,85
152: 275,219,197
153: 266,299
154: 288,18,233,287,4,68
155: 124,240,192,138,49
156: 251,61,0
157: 90,264
158: 61,262,257,0,53
159: 78,120,149,203,198,300
160: 264,261,256,2,90
161: 23,188,98,271
162: 184,89,141
163: 211,274,267,48,282,125
164: 103,23,294,270,175
165: 268,298,213,122,178
166: 301,273,57
167: 259,83,31
168: 235,95,96,259,137
169: 87,252,126,69
170: 296,101,180,297,97
171: 100,60,279,189,20,283
172: 293,290
173: 226,105
174: 109,291,39,186,12,102
175: 289,57,103,164,270
176: 66,105
177: 75,112,191,22
178: 227,108,298,165,26,128
179: 96,294,295,285,95
180: 193,297,15,101,170
181: 30,203,198
182: 235,285,53,286
183: 139,302,33,89,52
184: 162,141,92
185: 246,91,93,272,118,227,108
186: 224,241,39,174,104,12
187: 101,63
188: 115,98,243,161
189: 6,2,228,100,171,20
